name,oxilean,lean4lean,class,oxilean_detail,lean4lean_detail
HSub.mk.noConfusion,verified,verified,agree,,
HSub.noConfusion,verified,verified,agree,,
HSub.noConfusionType,verified,verified,agree,,
HSub.recOn,verified,verified,agree,,
HXor,verified,verified,agree,,
HXor.casesOn,verified,verified,agree,,
HXor.ctorIdx,verified,verified,agree,,
HXor.hXor,verified,verified,agree,,
HXor.mk._flat_ctor,absent,verified,only-one-side,,
HXor.mk.noConfusion,verified,verified,agree,,
HXor.noConfusion,verified,verified,agree,,
HXor.noConfusionType,verified,verified,agree,,
HXor.recOn,verified,verified,agree,,
Hashable,verified,verified,agree,,
Hashable.casesOn,verified,verified,agree,,
Hashable.ctorIdx,verified,verified,agree,,
Hashable.hash,verified,verified,agree,,
Hashable.mk._flat_ctor,absent,verified,only-one-side,,
Hashable.mk.noConfusion,verified,verified,agree,,
Hashable.noConfusion,verified,verified,agree,,
Hashable.noConfusionType,verified,verified,agree,,
Hashable.recOn,verified,verified,agree,,
HomogeneousPow,verified,verified,agree,,
HomogeneousPow.casesOn,verified,verified,agree,,
HomogeneousPow.ctorIdx,verified,verified,agree,,
HomogeneousPow.mk._flat_ctor,absent,verified,only-one-side,,
HomogeneousPow.mk.noConfusion,verified,verified,agree,,
HomogeneousPow.noConfusion,verified,verified,agree,,
HomogeneousPow.noConfusionType,verified,verified,agree,,
HomogeneousPow.pow,verified,verified,agree,,
HomogeneousPow.recOn,verified,verified,agree,,
Inhabited,verified,verified,agree,,
Inhabited.casesOn,verified,verified,agree,,
Inhabited.default,verified,verified,agree,,
Inhabited.mk._flat_ctor,absent,verified,only-one-side,,
Inhabited.mk.noConfusion,verified,verified,agree,,
Inhabited.noConfusion,verified,verified,agree,,
Inhabited.noConfusionType,verified,verified,agree,,
Inhabited.recOn,verified,verified,agree,,
Inv,verified,verified,agree,,
Inv.casesOn,verified,verified,agree,,
Inv.ctorIdx,verified,verified,agree,,
Inv.inv,verified,verified,agree,,
Inv.mk._flat_ctor,absent,verified,only-one-side,,
Inv.mk.noConfusion,verified,verified,agree,,
Inv.noConfusion,verified,verified,agree,,
Inv.noConfusionType,verified,verified,agree,,
Inv.recOn,verified,verified,agree,,
LE,verified,verified,agree,,
LE.casesOn,verified,verified,agree,,
LE.ctorIdx,verified,verified,agree,,
LE.le,verified,verified,agree,,
LE.mk._flat_ctor,absent,verified,only-one-side,,
LE.mk.noConfusion,verified,verified,agree,,
LE.noConfusion,verified,verified,agree,,
LE.noConfusionType,verified,verified,agree,,
LE.recOn,verified,verified,agree,,
LT,verified,verified,agree,,
LT.casesOn,verified,verified,agree,,
LT.ctorIdx,verified,verified,agree,,
LT.lt,verified,verified,agree,,
LT.mk._flat_ctor,absent,verified,only-one-side,,
LT.mk.noConfusion,verified,verified,agree,,
LT.noConfusion,verified,verified,agree,,
LT.noConfusionType,verified,verified,agree,,
LT.recOn,verified,verified,agree,,
Lean.Macro,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Context,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Context.casesOn,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Context.ctorIdx,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Context.currMacroScope,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Context.currRecDepth,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Context.currRecDepth._default,absent,verified,only-one-side,,
Lean.Macro.Context.maxRecDepth,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Context.maxRecDepth._default,absent,verified,only-one-side,,
Lean.Macro.Context.methods,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Context.mk._flat_ctor,absent,verified,only-one-side,,
Lean.Macro.Context.mk.noConfusion,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Context.noConfusion,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Context.noConfusionType,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Context.quotContext,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Context.recOn,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Context.ref,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Exception,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Exception.casesOn,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Exception.ctorElim,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Exception.ctorElimType,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Exception.ctorIdx,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Exception.error.elim,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Exception.error.noConfusion,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Exception.noConfusion,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Exception.noConfusionType,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Exception.recOn,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Exception.unsupportedSyntax.elim,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Methods,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Methods.casesOn,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Methods.ctorIdx,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Methods.expandMacro?,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Methods.getCurrNamespace,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Methods.hasDecl,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Methods.mk._flat_ctor,absent,verified,only-one-side,,
Lean.Macro.Methods.mk.noConfusion,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Methods.noConfusion,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Methods.noConfusionType,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Methods.recOn,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Methods.resolveGlobalName,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.Methods.resolveNamespace,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
Lean.Macro.MethodsRef,verified,verified,agree,,
Lean.Macro.MethodsRefPointed,verified,verified,agree,,
Lean.Macro.State,verified,verified,agree,,
Lean.Macro.State.casesOn,verified,verified,agree,,
Lean.Macro.State.ctorIdx,verified,verified,agree,,
Lean.Macro.State.macroScope,verified,verified,agree,,
Lean.Macro.State.noConfusion,verified,verified,agree,,
Lean.Macro.State.noConfusionType,verified,verified,agree,,
Lean.Macro.State.recOn,verified,verified,agree,,
Lean.Macro.State.traceMsgs,verified,verified,agree,,
Lean.Macro.State.traceMsgs._default,absent,verified,only-one-side,,
Lean.Macro.addMacroScope,unsupported,verified,unsupported-skipped,dependency on an unsupported declaration,
